Name;Result;Time 1 (µs);Velocity (m/s);Distance (m);Probe Freq. (kHz);Probe Type;Litología 
1;3948 m/s;18;3948;0,071;54;P-wave;Zona 1
2;3926 m/s;18,1;3926;0,071;54;P-wave;Zona 1
3;3948 m/s;18;3948;0,071;54;P-wave;Zona 1
4;3821 m/s;18,6;3821;0,071;54;P-wave;Zona 1
5;3821 m/s;18,6;3821;0,071;54;P-wave;Zona 1
6;3701 m/s;19,2;3701;0,071;54;P-wave;Zona 1
7;3682 m/s;19,3;3682;0,071;54;P-wave;Zona 1
8;3883 m/s;18,3;3883;0,071;54;P-wave;Zona 1
9;3821 m/s;18,6;3821;0,071;54;P-wave;Zona 1
10;3721 m/s;19,1;3721;0,071;54;P-wave;Zona 1
